,School,School Max Group,School Count Group
1114,East St. Louis,2,4
1115,Cardinal Newman,1,1
1117,Gulliver Prep,1,4
1119,Grimsley,1,1
1120,Wren,1,1
1121,Florida State Univ. School,1,2
1122,Mater Dei Catholic,1,1
1123,Jefferson,1,3
1124,Conroe,1,2
1125,East Lake,1,1
1126,Raymond,1,1
1127,Thompson,2,6
1128,Martin,1,2
1129,Coconut Creek,1,1
1130,Crystal Springs,1,1
1131,IMG Academy,2,35
1132,Saraland,1,2
1133,Lake Charles College Prep,1,1
1134,Ironton,1,1
1135,Knoxville Catholic,1,3
1136,Jennings,1,1
1137,Roncalli,1,1
1138,Eden Prairie,1,1
1139,Union Parish,1,1
1140,Severna Park Sr,1,1
1141,Trinity Christian Academy,1,2
1142,East Feliciana,1,1
1143,Corbin,1,2
1144,Sumner,1,1
1145,Lebanon,1,1
1146,Jesuit,1,2
1147,Calvary Day School,1,2
1148,Lawrence Academy,1,2
1149,Katy,2,2
1150,Independence,1,2
1151,Westview,2,2
1153,Edna Karr,1,3
1154,IMG Academy,2,35
1155,Johns Creek,1,3
1156,Magna Vista,1,1
1157,Buckingham Browne & Nichols School,1,2
1158,Plainfield East,1,1
1159,Brophy College Preparatory,1,2
1161,Tift County,1,1
1162,St. Augustine,1,3
1163,Perry Traditional Academy,1,1
1164,Roseville,1,1
1166,John Burroughs School,1,1
1168,Graham-Kapowsin,1,2
1169,Winter Park,1,2
1170,Warner Robins,1,1
1171,Madison Central,1,2
1172,Bristol Central,1,2
1173,Buford,2,6
1174,Louisville Male,1,4
1175,Pike Road,1,3
1176,Jesuit,1,2
1177,Folsom,1,2
1178,Little Rock Christian Academy,1,1
1179,Grayson,1,3
1180,Acadiana,1,1
1181,Hiram,1,1
1182,Powell,3,3
1183,Miami Central,2,5
1184,Heritage Academy,1,2
1185,Northridge,1,1
1186,John Carroll,1,1
1187,Grosse Pointe South,2,1
1188,Harlan Community,1,1
