Height_in_Inches,Weight_in_Kg,Followers Instagram,Followers Tiktok,Followers Twitter,School Max Group,School Count Group,Hometown Max Group,Hometown Count Group
70,160,7800,1900,2300,1,1,1,1
74,220,26000,0,0,2,1,2,2
74,220,3100,101,3200,1,3,1,1
72,180,2900,73,2600,1,1,1,1
77,243,3400,973,10200,1,2,1,1
75,180,23000,0,0,2,4,5,5
78,255,3600,6200,2000,1,6,1,1
72,170,24000,0,0,1,5,1,1
70,160,8700,0,0,8,3,2,2
74,260,1300,0,0,1,4,1,1
76,200,1100,0,0,1,1,1,1
73,185,5900,6800,4200,1,2,1,1
76,210,1200,0,0,1,1,1,1
74,190,3400,2000,1900,2,3,1,1
76,240,7300,1,1100,1,1,1,1
70,170,4200,8100,3000,1,3,1,1
73,175,3900,1,2300,1,5,1,1
73,205,3100,0,0,1,5,1,1
76,215,4200,987,2800,1,1,1,1
77,189,13000,1900,15300,1,3,1,1
71,190,3600,653,1900,1,1,1,1
75,210,3800,0,0,1,2,1,1
71,220,8600,4,2100,1,1,1,1
77,240,3900,14,8600,2,8,1,1
70,170,3900,0,0,1,1,1,1
69,205,1,1400,8800,1,3,2,2
76,285,826,36,1400,1,2,1,1
71,163,8700,0,0,1,1,1,1
71,170,1900,0,0,1,1,1,1
73,206,6100,8100,4100,1,1,1,1
68,195,4400,0,0,1,1,1,1
75,189,3300,8,1400,1,1,1,1
67,205,13900,0,0,2,5,2,2
70,176,10800,1300,3900,1,4,1,1
74,200,5500,0,0,1,2,1,1
70,190,13,0,0,1,2,1,1
74,175,7800,0,0,1,1,1,1
73,235,26000,366,4200,2,6,2,2
74,175,1400,0,0,1,4,1,1
75,209,566,0,0,1,1,1,1
75,185,8800,0,0,1,4,1,1
77,285,673,52,882,1,2,1,1
77,255,5100,2000,4000,1,2,1,1
75,220,10800,727,4700,2,35,1,1
74,220,4300,0,0,1,2,1,1
75,255,2900,0,0,1,1,1,1
76,250,3000,503,2100,1,1,1,1
75,247,4300,1,2300,1,1,1,1
74,170,21000,3200,1400,1,1,1,1
77,265,1800,0,0,1,1,1,1
76,250,8500,0,0,1,1,1,1
77,310,3200,793,3400,1,1,1,1
71,191,26000,46000,5200,2,1,2,2
75,285,1400,453,995,1,1,1,1
200,77,1400,0,0,1,1,1,1
77,205,2400,67,1400,1,1,1,1
77,295,506,0,0,1,3,1,1
74,320,2200,0,0,1,3,1,1
75,280,1100,52,1400,1,1,1,1
78,300,2200,0,0,1,2,1,1
72,171,24000,114000,6000,2,2,2,2
69,205,13200,125000,926,2,8,2,2
77,285,1400,0,0,1,1,1,1
72,160,3700,0,0,1,1,1,1
72,182,15900,0,0,1,1,1,1
69,160,5400,0,0,1,1,1,1
74,190,2100,0,0,1,3,1,1
72,225,19000,41000,6200,1,7,1,1
76,300,2400,0,0,1,2,1,1
76,300,4300,1500,2000,1,2,1,1
73,190,12500,390,4500,1,2,1,1
70,205,8400,0,0,1,1,1,1
76,245,2200,0,0,1,2,1,1
78,267,2200,0,0,1,2,1,1
73,170,4600,0,0,1,2,1,1
78,220,1100,0,0,1,2,1,1
74,187,1900,100,520,1,5,1,1
77,283,5500,0,0,1,1,1,1
73,205,2300,74,1900,1,3,1,1
76,235,2600,0,0,1,2,2,2
76,285,2400,526,2100,1,3,7,7
76,235,2700,0,0,1,3,1,1
72,170,5500,0,0,2,5,2,2
75,217,4400,511,2900,1,4,1,1
75,209,3400,331,3000,1,7,1,1
76,225,3000,54,1500,1,1,1,1
76,310,4300,2300,2400,1,2,1,1
73,170,1600,0,0,1,1,1,1
72,165,1400,0,0,1,1,1,1
74,225,3600,188,2400,1,1,1,1
72,189,10800,0,0,1,3,1,1
